startupID,startupName,ICB_industry,accelaratorResult,accelerator,accleratorDate,ICB_sector,businessModel,dealInvestmentAmount,description,equityValuation,foundedDate,groupClassification,incubator,incubatorDate,incubatorResult,investmentStage,investorName,investorType,keyword,linkedinURL,roundDate,roundInvestmentAmount,roundInvestorCount,roundLeadInvestorType,roundValuation,source,stageClassification,startupClassification,startupStatus,state,founderName,city,website,Lat,Lon
YNOS2208,SKANDA LIFE SCIENCES .,Healthcare,,,,Healthcare,,,,,,[],,,,,[''],,[],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",TCA,,['Health-Tech'],Angel investment,,[],,,,
YNOS2209,SKEDOOL.IT,Technology,,,,Software & Computer Services,B2C,,My Ally (foremerly Skedool.it) is a smart personal assistant services company that is currently focused on scheduling. Alex is AI-powered personal assistant that efficiently and promptly handles your day to day scheduling needs. We are currently inviting users to sign up for our private beta. Please check us out at myally.ai,,2015-01-01 0:00:00,['Software services for consumers'],,,,,"['MOHANDAS PAI, PHANINDRA SAMA, OTHERS']",,"['Virtual Assitant',  'Mobile Application']",,"[Timestamp('2016-03-01 00:00:00'),  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,"['Software and Internet Services',  'Not required']",,,[],,,,
YNOS2210,SKEDOOL.IT INC.,Technology,,,,Software & Computer Services,B2B,"['',  '',  '']","Skedool.it Inc. develops a human and artificial intelligence based software assistant for businesses. It offers Alex,  a blend of human skill with executive assistant experience and AI software that handles day to day scheduling needs and offers calendar management solutions.","['',  '',  '']",2015-01-01,['Business Support Services'],,,,"['Seed',  'Seed',  'Seed']","['MOHANDAS PAI',  'NARAYAN RAMACHANDRAN',  'PHANINDRA SAMA']","['Angel',  'Angel',  'Angel']",[],"['',  '',  '']","[Timestamp('2016-03-02 00:00:00'),  Timestamp('2016-03-02 00:00:00'),  Timestamp('2016-03-02 00:00:00')]","['',  '',  '']",,,,VCC,"['',  '',  '']",[],,,[],,https://www.skedool.it,,
YNOS2211,SKETCHMYROOM,Industrials,,,,Industrial goods and services,B2C,,Sketchmyroom is an online interior design company that brings an ease for every individual to create his dream home.,,,['Building Materials & Fixtures'],,,,,[''],,['Interior design services'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",Startup Centre,,['Industrial and Business Products and Services'],Incubation,Karnataka,[],Bengaluru,,13.094454,77.586014
YNOS2212,SKILLANGELS.COM,Technology,,,,Software & Computer Services,B2C,,Eduaction and learning platfrom where you develop your skil by solving puzzles,,,['Placement and Employment related services'],,,,,['SPROUT ANGELS'],,"['Skill Development',  'Recruit Job and career']",,"[Timestamp('2015-06-01 00:00:00'),  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,"['Edu-Tech',  'Not required']",,,[],,,,
YNOS2213,SKILLBOOST SERVICES,Financials,,,,Real estate,B2C,,SOCOMO Technologies Pvt Ltd develops and operates an online platform which allows investors to trade Bitcoin like on a stock exchange.,,2012-01-01 0:00:00,['Investment advisory and consultancy and financial consumer services'],,,,,[''],,['Online platform to help investors'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",Deal curry,,['Fin-Tech and Payments'],Angel investment,uttar Pradesh,"['Samar Singla',  'Chinmay Aggarwal']",chandigarh,,,
YNOS2214,SKILLOVATORS,Technology,,,,Software & Computer Services,B2C,,Skillovators uses the successful innovations of AMMACHI Labs to create proven products and services that will transform the vocational training industry.,,,['Placement and Employment related services'],Amrita - TBI,2015-01-01 0:00:00,,,[''],,['Vocational Training'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Edu-Tech'],,,[],Bengaluru,,13.094454,77.586014
YNOS2215,SKILLS ALPHA,Technology,,,,Software & Computer Services,B2C,,,,,['Placement and Employment related services'],,,,,['GANESH NATARAJAN'],,"['Industrial Skill Development',  'Recruit Job and career']",,"[Timestamp('2016-10-01 00:00:00'),  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,"['Edu-Tech',  'Not required']",,,[],,,,
YNOS2216,SKILLTRAIN,Technology,,,,Software & Computer Services,B2C,,"We are a technology-enabled vocational training organization. We provide vocational training on a blended learning format on skills like mobile repairing,  electronics repairing,  computer hardware repairing,  electrical repairing,  plumbing & masonry to rural school dropouts and urban youth enabling them to become self-employed or employable.",,,['Placement and Employment related services'],Villgro,2014-11-01 0:00:00,,,[''],,['Vocational Training'],,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",VI,,['Edu-Tech'],,,[],Bengaluru,http://www.skilltrain.in/,13.094454,77.586014
YNOS2217,SKIPPCARD,Technology,,,,Software & Computer Services,B2C,,Mobile appication for showing menua card of restaurant with details of ingridients calories servings price and photos,,,['SaaS'],,,,,[''],,"['Mobile Application',  'Buisness Intelligence']",,"['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']","['',  '',  '']",Startup Centre,,"['Software and Internet Services',  'Not required']",Acceleration,,[],New Delhi,,28.526592,77.290169
